Primary_Street,Commonly_Used_Street_Suffix_or_Abbreviation,Postal_Service_Standard_Suffix_Abbreviation
ALLEY,ALLEE,ALY
ALLEY,ALLEY,ALY
ALLEY,ALLY,ALY
ALLEY,ALY,ALY
ANEX,ANEX,ANX
ANEX,ANNEX,ANX
ANEX,ANNX,ANX
ANEX,ANX,ANX
ARCADE,ARC,ARC
ARCADE,ARCADE,ARC
AVENUE,AV,AVE
AVENUE,AVE,AVE
AVENUE,AVEN,AVE
AVENUE,AVENU,AVE
AVENUE,AVENUE,AVE
AVENUE,AVN,AVE
AVENUE,AVNUE,AVE
BAYOU,BAYOO,BYU
BAYOU,BAYOU,BYU
BEACH,BCH,BCH
BEACH,BEACH,BCH
BEND,BEND,BND
BEND,BND,BND
BLUFF,BLF,BLF
BLUFF,BLUF,BLF
BLUFF,BLUFF,BLF
BLUFFS,BLUFFS,BLFS
BOTTOM,BOT,BTM
BOTTOM,BTM,BTM
BOTTOM,BOTTM,BTM
BOTTOM,BOTTOM,BTM
BOULEVARD,BLVD,BLVD
BOULEVARD,BOUL,BLVD
BOULEVARD,BOULEVARD,BLVD
BOULEVARD,BOULV,BLVD
BRANCH,BR,BR
BRANCH,BRNCH,BR
BRANCH,BRANCH,BR
BRIDGE,BRDGE,BRG
BRIDGE,BRG,BRG
BRIDGE,BRIDGE,BRG
BROOK,BRK,BRK
BROOK,BROOK,BRK
BROOKS,BROOKS,BRKS
BURG,BURG,BG
BURGS,BURGS,BGS
BYPASS,BYP,BYP
BYPASS,BYPA,BYP
BYPASS,BYPAS,BYP
BYPASS,BYPASS,BYP
BYPASS,BYPS,BYP
CAMP,CAMP,CP
CAMP,CP,CP
CAMP,CMP,CP
CANYON,CANYN,CYN
CANYON,CANYON,CYN
CANYON,CNYN,CYN
CAPE,CAPE,CPE
CAPE,CPE,CPE
CAUSEWAY,CAUSEWAY,CSWY
CAUSEWAY,CAUSWA,CSWY
CAUSEWAY,CSWY,CSWY
CENTER,CEN,CTR
CENTER,CENT,CTR
CENTER,CENTER,CTR
CENTER,CENTR,CTR
CENTER,CENTRE,CTR
CENTER,CNTER,CTR
CENTER,CNTR,CTR
CENTER,CTR,CTR
CENTERS,CENTERS,CTRS
CIRCLE,CIR,CIR
CIRCLE,CIRC,CIR
CIRCLE,CIRCL,CIR
CIRCLE,CIRCLE,CIR
CIRCLE,CRCL,CIR
CIRCLE,CRCLE,CIR
CIRCLES,CIRCLES,CIRS
CLIFF,CLF,CLF
CLIFF,CLIFF,CLF
CLIFFS,CLFS,CLFS
CLIFFS,CLIFFS,CLFS
CLUB,CLB,CLB
CLUB,CLUB,CLB
COMMON,COMMON,CMN
COMMONS,COMMONS,CMNS
CORNER,COR,COR
CORNER,CORNER,COR
CORNERS,CORNERS,CORS
CORNERS,CORS,CORS
COURSE,COURSE,CRSE
COURSE,CRSE,CRSE
COURT,COURT,CT
COURT,CT,CT
COURTS,COURTS,CTS
COURTS,CTS,CTS
COVE,COVE,CV
COVE,CV,CV
COVES,COVES,CVS
CREEK,CREEK,CRK
CREEK,CRK,CRK
CRESCENT,CRESCENT,CRES
CRESCENT,CRES,CRES
CRESCENT,CRSENT,CRES
CRESCENT,CRSNT,CRES
CREST,CREST,CRST
CROSSING,CROSSING,XING
CROSSING,CRSSNG,XING
CROSSING,XING,XING
CROSSROAD,CROSSROAD,XRD
CROSSROADS,CROSSROADS,XRDS
CURVE,CURVE,CURV
DALE,DALE,DL
DALE,DL,DL
DAM,DAM,DM
DAM,DM,DM
DIVIDE,DIV,DV
DIVIDE,DIVIDE,DV
DIVIDE,DV,DV
DIVIDE,DVD,DV
DRIVE,DR,DR
DRIVE,DRIV,DR
DRIVE,DRIVE,DR
DRIVE,DRV,DR
DRIVES,DRIVES,DRS
ESTATE,EST,EST
ESTATE,ESTATE,EST
ESTATES,ESTATES,ESTS
ESTATES,ESTS,ESTS
EXPRESSWAY,EXP,EXPY
EXPRESSWAY,EXPR,EXPY
EXPRESSWAY,EXPRESS,EXPY
EXPRESSWAY,EXPRESSWAY,EXPY
EXPRESSWAY,EXPW,EXPY
EXPRESSWAY,EXPY,EXPY
EXTENSION,EXT,EXT
EXTENSION,EXTENSION,EXT
EXTENSION,EXTN,EXT
EXTENSION,EXTNSN,EXT
EXTENSIONS,EXTS,EXTS
FALL,FALL,FALL
FALLS,FALLS,FLS
FALLS,FLS,FLS
FERRY,FERRY,FRY
FERRY,FRRY,FRY
FERRY,FRY,FRY
FIELD,FIELD,FLD
FIELD,FLD,FLD
FIELDS,FIELDS,FLDS
FIELDS,FLDS,FLDS
FLAT,FLAT,FLT
FLAT,FLT,FLT
FLATS,FLATS,FLTS
FLATS,FLTS,FLTS
FORD,FORD,FRD
FORD,FRD,FRD
FORDS,FORDS,FRDS
FOREST,FOREST,FRST
FOREST,FORESTS,FRST
FOREST,FRST,FRST
FORGE,FORG,FRG
FORGE,FORGE,FRG
FORGE,FRG,FRG
FORGES,FORGES,FRGS
FORK,FORK,FRK
FORK,FRK,FRK
FORKS,FORKS,FRKS
FORKS,FRKS,FRKS
FORT,FORT,FT
FORT,FRT,FT
FORT,FT,FT
FREEWAY,FREEWAY,FWY
FREEWAY,FREEWY,FWY
FREEWAY,FRWAY,FWY
FREEWAY,FRWY,FWY
FREEWAY,FWY,FWY
GARDEN,GARDEN,GDN
GARDEN,GARDN,GDN
GARDEN,GRDEN,GDN
GARDEN,GRDN,GDN
GARDENS,GARDENS,GDNS
GARDENS,GDNS,GDNS
GARDENS,GRDNS,GDNS
GATEWAY,GATEWAY,GTWY
GATEWAY,GATEWY,GTWY
GATEWAY,GATWAY,GTWY
GATEWAY,GTWAY,GTWY
GATEWAY,GTWY,GTWY
GLEN,GLEN,GLN
GLEN,GLN,GLN
GLENS,GLENS,GLNS
GREEN,GREEN,GRN
GREEN,GRN,GRN
GREENS,GREENS,GRNS
GROVE,GROV,GRV
GROVE,GROVE,GRV
GROVE,GRV,GRV
GROVES,GROVES,GRVS
HARBOR,HARB,HBR
HARBOR,HARBOR,HBR
HARBOR,HARBR,HBR
HARBOR,HBR,HBR
HARBOR,HRBOR,HBR
HARBORS,HARBORS,HBRS
HAVEN,HAVEN,HVN
HAVEN,HVN,HVN
HEIGHTS,HT,HTS
HEIGHTS,HTS,HTS
HIGHWAY,HIGHWAY,HWY
HIGHWAY,HIGHWY,HWY
HIGHWAY,HIWAY,HWY
HIGHWAY,HIWY,HWY
HIGHWAY,HWAY,HWY
HIGHWAY,HWY,HWY
HILL,HILL,HL
HILL,HL,HL
HILLS,HILLS,HLS
HILLS,HLS,HLS
HOLLOW,HLLW,HOLW
HOLLOW,HOLLOW,HOLW
HOLLOW,HOLLOWS,HOLW
HOLLOW,HOLW,HOLW
HOLLOW,HOLWS,HOLW
INLET,INLT,INLT
INTERSTATE,I,I
ISLAND,IS,IS
ISLAND,ISLAND,IS
ISLAND,ISLND,IS
ISLANDS,ISLANDS,ISS
ISLANDS,ISLNDS,ISS
ISLANDS,ISS,ISS
ISLE,ISLE,ISLE
ISLE,ISLES,ISLE
JUNCTION,JCT,JCT
JUNCTION,JCTION,JCT
JUNCTION,JCTN,JCT
JUNCTION,JUNCTION,JCT
JUNCTION,JUNCTN,JCT
JUNCTION,JUNCTON,JCT
JUNCTIONS,JCTNS,JCTS
JUNCTIONS,JCTS,JCTS
JUNCTIONS,JUNCTIONS,JCTS
KEY,KEY,KY
KEY,KY,KY
KEYS,KEYS,KYS
KEYS,KYS,KYS
KNOLL,KNL,KNL
KNOLL,KNOL,KNL
KNOLL,KNOLL,KNL
KNOLLS,KNLS,KNLS
KNOLLS,KNOLLS,KNLS
LAKE,LK,LK
LAKE,LAKE,LK
LAKES,LKS,LKS
LAKES,LAKES,LKS
LAND,LAND,LAND
LANDING,LANDING,LNDG
LANDING,LNDG,LNDG
LANDING,LNDNG,LNDG
LANE,LANE,LN
LANE,LN,LN
LIGHT,LGT,LGT
LIGHT,LIGHT,LGT
LIGHTS,LIGHTS,LGTS
LOAF,LF,LF
LOAF,LOAF,LF
LOCK,LCK,LCK
LOCK,LOCK,LCK
LOCKS,LCKS,LCKS
LOCKS,LOCKS,LCKS
LODGE,LDG,LDG
LODGE,LDGE,LDG
LODGE,LODG,LDG
LODGE,LODGE,LDG
LOOP,LOOP,LOOP
LOOP,LOOPS,LOOP
MALL,MALL,MALL
MANOR,MNR,MNR
MANOR,MANOR,MNR
MANORS,MANORS,MNRS
MANORS,MNRS,MNRS
MEADOW,MEADOW,MDW
MEADOWS,MDW,MDWS
MEADOWS,MDWS,MDWS
MEADOWS,MEADOWS,MDWS
MEADOWS,MEDOWS,MDWS
MEWS,MEWS,MEWS
MILL,MILL,ML
MILLS,MILLS,MLS
MISSION,MISSN,MSN
MISSION,MSSN,MSN
MOORHEAD,MHD,MHD
MOTORWAY,MOTORWAY,MTWY
MOUNT,MNT,MT
MOUNT,MT,MT
MOUNT,MOUNT,MT
MOUNTAIN,MNTAIN,MTN
MOUNTAIN,MNTN,MTN
MOUNTAIN,MOUNTAIN,MTN
MOUNTAIN,MOUNTIN,MTN
MOUNTAIN,MTIN,MTN
MOUNTAIN,MTN,MTN
MOUNTAINS,MNTNS,MTNS
MOUNTAINS,MOUNTAINS,MTNS
NECK,NCK,NCK
NECK,NECK,NCK
ORCHARD,ORCH,ORCH
ORCHARD,ORCHARD,ORCH
ORCHARD,ORCHRD,ORCH
OVAL,OVAL,OVAL
OVAL,OVL,OVAL
OVERPASS,OVERPASS,OPAS
PARK,PARK,PARK
PARK,PRK,PARK
PARKS,PARKS,PARK
PARKWAY,PARKWAY,PKWY
PARKWAY,PARKWY,PKWY
PARKWAY,PKWAY,PKWY
PARKWAY,PKWY,PKWY
PARKWAY,PKY,PKWY
PARKWAYS,PARKWAYS,PKWY
PARKWAYS,PKWYS,PKWY
PASS,PASS,PASS
PASSAGE,PASSAGE,PSGE
PATH,PATH,PATH
PATH,PATHS,PATH
PIKE,PIKE,PIKE
PIKE,PIKES,PIKE
PINE,PINE,PNE
PINES,PINES,PNES
PINES,PNES,PNES
PLACE,PL,PL
PLAIN,PLAIN,PLN
PLAIN,PLN,PLN
PLAINS,PLAINS,PLNS
PLAINS,PLNS,PLNS
PLAZA,PLAZA,PLZ
PLAZA,PLZ,PLZ
PLAZA,PLZA,PLZ
POINT,POINT,PT
POINT,PT,PT
POINTS,POINTS,PTS
POINTS,PTS,PTS
PORT,PORT,PRT
PORT,PRT,PRT
PORTS,PORTS,PRTS
PORTS,PRTS,PRTS
PRAIRIE,PR,PR
PRAIRIE,PRAIRIE,PR
PRAIRIE,PRR,PR
RADIAL,RAD,RADL
RADIAL,RADIAL,RADL
RADIAL,RADIEL,RADL
RADIAL,RADL,RADL
RAMP,RAMP,RAMP
RANCH,RANCH,RNCH
RANCH,RANCHES,RNCH
RANCH,RNCH,RNCH
RANCH,RNCHS,RNCH
RAPID,RAPID,RPD
RAPID,RPD,RPD
RAPIDS,RAPIDS,RPDS
RAPIDS,RPDS,RPDS
REST,REST,RST
REST,RST,RST
RIDGE,RDG,RDG
RIDGE,RDGE,RDG
RIDGE,RIDGE,RDG
RIDGES,RDGS,RDGS
RIDGES,RIDGES,RDGS
RIVER,RIV,RIV
RIVER,RIVER,RIV
RIVER,RVR,RIV
RIVER,RIVR,RIV
ROAD,RD,RD
ROAD,ROAD,RD
ROADS,ROADS,RDS
ROADS,RDS,RDS
ROUTE,ROUTE,RTE
ROW,ROW,ROW
RUE,RUE,RUE
RUN,RUN,RUN
SHOAL,SHL,SHL
SHOAL,SHOAL,SHL
SHOALS,SHLS,SHLS
SHOALS,SHOALS,SHLS
SHORE,SHOAR,SHR
SHORE,SHORE,SHR
SHORE,SHR,SHR
SHORES,SHOARS,SHRS
SHORES,SHORES,SHRS
SHORES,SHRS,SHRS
SKYWAY,SKYWAY,SKWY
SPRING,SPG,SPG
SPRING,SPNG,SPG
SPRING,SPRING,SPG
SPRING,SPRNG,SPG
SPRINGS,SPGS,SPGS
SPRINGS,SPNGS,SPGS
SPRINGS,SPRINGS,SPGS
SPRINGS,SPRNGS,SPGS
SPUR,SPUR,SPUR
SPURS,SPURS,SPUR
SQUARE,SQ,SQ
SQUARE,SQR,SQ
SQUARE,SQRE,SQ
SQUARE,SQU,SQ
SQUARE,SQUARE,SQ
SQUARES,SQRS,SQS
SQUARES,SQUARES,SQS
STATION,STA,STA
STATION,STATION,STA
STATION,STATN,STA
STATION,STN,STA
STRAVENUE,STRA,STRA
STRAVENUE,STRAV,STRA
STRAVENUE,STRAVEN,STRA
STRAVENUE,STRAVENUE,STRA
STRAVENUE,STRAVN,STRA
STRAVENUE,STRVN,STRA
STRAVENUE,STRVNUE,STRA
STREAM,STREAM,STRM
STREAM,STREME,STRM
STREAM,STRM,STRM
STREET,STREET,ST
STREET,STRT,ST
STREET,ST,ST
STREET,STR,ST
STREETS,STREETS,STS
SUMMIT,SMT,SMT
SUMMIT,SUMIT,SMT
SUMMIT,SUMITT,SMT
SUMMIT,SUMMIT,SMT
TERRACE,TER,TER
TERRACE,TERR,TER
TERRACE,TERRACE,TER
THROUGHWAY,THROUGHWAY,TRWY
TRACE,TRACE,TRCE
TRACE,TRACES,TRCE
TRACE,TRCE,TRCE
TRACK,TRACK,TRAK
TRACK,TRACKS,TRAK
TRACK,TRAK,TRAK
TRACK,TRK,TRAK
TRACK,TRKS,TRAK
TRAFFICWAY,TRAFFICWAY,TRFY
TRAIL,TRAIL,TRL
TRAIL,TRAILS,TRL
TRAIL,TRL,TRL
TRAIL,TRLS,TRL
TRAILER,TRAILER,TRLR
TRAILER,TRLR,TRLR
TRAILER,TRLRS,TRLR
TUNNEL,TUNEL,TUNL
TUNNEL,TUNL,TUNL
TUNNEL,TUNLS,TUNL
TUNNEL,TUNNEL,TUNL
TUNNEL,TUNNELS,TUNL
TUNNEL,TUNNL,TUNL
TURNPIKE,TRNPK,TPKE
TURNPIKE,TURNPIKE,TPKE
TURNPIKE,TURNPK,TPKE
UNDERPASS,UNDERPASS,UPAS
UNION,UN,UN
UNION,UNION,UN
UNIONS,UNIONS,UNS
VALLEY,VALLEY,VLY
VALLEY,VALLY,VLY
VALLEY,VLLY,VLY
VALLEY,VLY,VLY
VALLEYS,VALLEYS,VLYS
VALLEYS,VLYS,VLYS
VIADUCT,VDCT,VIA
VIADUCT,VIA,VIA
VIADUCT,VIADCT,VIA
VIADUCT,VIADUCT,VIA
VIEW,VIEW,VW
VIEW,VW,VW
VIEWS,VIEWS,VWS
VIEWS,VWS,VWS
VILLAGE,VILL,VLG
VILLAGE,VILLAG,VLG
VILLAGE,VILLAGE,VLG
VILLAGE,VILLG,VLG
VILLAGE,VILLIAGE,VLG
VILLAGE,VLG,VLG
VILLAGES,VILLAGES,VLGS
VILLAGES,VLGS,VLGS
VILLE,VILLE,VL
VILLE,VL,VL
VISTA,VIS,VIS
VISTA,VIST,VIS
VISTA,VISTA,VIS
VISTA,VST,VIS
VISTA,VSTA,VIS
WALK,WALK,WALK
WALKS,WALKS,WALK
WALL,WALL,WALL
WAY,WY,WAY
WAY,WAY,WAY
WAYS,WAYS,WAYS
WELL,WELL,WL
WELLS,WELLS,WLS
WELLS,WLS,WLS
APARTMENT,APT,APT
BASEMENT,BSMT,BSMT
BUILDING,BLDG,BLDG
DEPARTMENT,DEPT,DEPT
FLOOR,FL,FL
FRONT,FRNT,FRNT
HANGAR,HNGR,HNGR
LOBBY,LBBY,LBBY
LOT,LOT,LOT
LOWER,LOWR,LOWR
OFFICE,OFC,OFC
PENTHOUSE,PH,PH
PIER,PIER,PIER
REAR,REAR,REAR
ROOM,RM,RM
SIDE,SIDE,SIDE
SLIP,SLIP,SLIP
SPACE,SPC,SPC
STOP,STOP,STOP
SUITE,STE,STE
TRAILER,TRLR,TRLR
UNIT,UNIT,UNIT
UPPER,UPPR,UPPR
SOUTH,S,S
NORTH,N,N
EAST,E,E
WEST,W,W
NORTHWEST,NW,NW
NORTHEAST,NE,NE
SOUTHEAST,SE,SE
SOUTHWEST,SW,SW
