TRIFID,PRIMARY NAICS CODE,CAS NUMBER,ON-SITE - RECYCLED,UNIT OF MEASURE,LOWER EFFICIENCY,LOWER EFFICIENCY OUTLIER?,Q1 - 1.5xIQR,Q1,Q2,Q3,Q3 + 1.5xIQR,UPPER EFFICIENCY,UPPER EFFICIENCY OUTLIER?,IQR,MEAN OF EFFICIENCY,CV,HIGH VARIANCE?,METHOD
16512RCKCRFOOTO,324199,000091203,1000.0,Pounds,6.3291,NO,0.0,6.3493,6.3694,48.6393,100.0,90.9091,NO,42.29,34.5359,1.1542,YES,R99
54165BTRCC124BR,311513,007697372,1980.0,Pounds,50.0,NO,50.0,50.0,50.0,50.0,50.0,50.0,NO,0.0,50.0,0.0,NO,R99
94565DWCHMFOOTO,325320,000071556,10346.0,Pounds,73.4645,NO,59.2713,78.3601,83.9364,91.086,100.0,99.9903,NO,12.7259,85.248,0.0946,NO,R99
07036XXNXX1400P,324110,001330207,9500.0,Pounds,8.4462,NO,0.0,11.7306,15.4472,22.8844,39.6151,99.7271,YES,11.1538,20.6669,0.7566,NO,R99
07036XXNXX1400P,324110,000100414,1600.0,Pounds,5.5119,NO,0.0,7.6877,10.2722,16.0,28.4684,99.8752,YES,8.3123,14.5656,0.8706,NO,R99
93308TXCRF6451R,324110,000071432,250.0,Pounds,0.7121,NO,0.0,0.7665,0.8264,6.0953,14.0886,99.6016,YES,5.3289,11.2551,1.8691,YES,R19
26155PPGNDSTATE,325181,007439976,106171.0,Pounds,98.5922,NO,97.3935,98.8083,99.0253,99.7515,100.0,99.9727,NO,0.9432,99.2466,0.0049,NO,R30
65708MDMRC10DAI,311514,007647010,46930.0,Pounds,9.0917,NO,0.0,9.0917,9.0918,54.5406,100.0,99.9893,NO,45.4488,39.3909,1.0878,YES,R99
73127DCNDS5716N,332813,N090,858.0,Pounds,18.1818,NO,2.9443,23.4197,29.0454,37.0699,57.5453,49.282,NO,13.6503,31.0698,0.3289,NO,R30
93308TXCRF6451R,324110,001634044,1.0,Pounds,0.0105,NO,0.0,0.013,0.0156,0.0319,0.0602,3.8462,YES,0.0189,0.566,2.3659,YES,R19
07036XXNXX1400P,324110,000091203,4000.0,Pounds,38.3877,NO,8.3536,45.1564,54.7945,69.6917,100.0,94.5626,NO,24.5353,58.4085,0.2644,NO,R99
73446WWTRLHWY19,336212,N230,0.5,Pounds,0.0022,NO,0.0,0.0023,0.0024,0.0455,0.1102,9.0909,YES,0.0431,0.6318,3.5788,YES,R19
40213NTDCT4900C,325188,007664417,51000.0,Pounds,8.0118,NO,0.0,10.0824,13.4848,24.4954,46.1149,99.9902,YES,14.413,22.9794,0.8411,NO,R13
24541CRNNGROUTE,327212,N040,41544.0,Pounds,97.8865,NO,97.656,98.6137,98.8108,99.2522,100.0,99.988,NO,0.6385,98.9263,0.0052,NO,R99
98541MRTNTROUTE,325188,000067561,39567.0,Pounds,28.0166,NO,0.0,30.3311,33.0069,72.7838,100.0,97.5349,NO,42.4527,52.6014,0.4743,NO,R14
92803KWKST516ES,332510,000127184,550000.0,Pounds,71.8265,NO,68.0949,77.577,83.3333,83.8984,93.3806,99.9998,YES,6.3214,84.2652,0.1162,NO,R11
46241RLLYT1500S,325192,007664417,0.5,Pounds,0.0001,NO,0.0,0.0002,0.0002,0.0003,0.0006,0.005,YES,0.0002,0.0004,1.7094,YES,R11
60623MRTNT1645S,325320,N020,1131.0,Pounds,77.9462,NO,65.9729,81.2258,84.5924,91.3943,100.0,99.5599,NO,10.1685,87.5374,0.0869,NO,R99
76504CNTRF3320P,331513,N100,1719.0,Pounds,55.848,NO,0.0,55.9755,56.1031,99.2208,100.0,99.9419,NO,43.2453,74.6122,0.2884,NO,R30
76504CNTRF3320P,331513,N450,5912.0,Pounds,46.4707,NO,0.0,46.5697,46.6688,99.1198,100.0,99.9493,NO,52.5501,69.2097,0.3777,NO,R30
29116THYLCCANNO,325199,000095636,2083031.0,Pounds,97.1437,NO,93.6587,97.3302,97.5173,99.7778,100.0,99.9814,NO,2.4477,98.5206,0.0125,NO,R11
25515KZCHMSTATE,325998,007726956,160000.0,Pounds,99.194,NO,98.7448,99.2556,99.3172,99.5962,100.0,99.8752,NO,0.3406,99.4621,0.003,NO,R99
18848GTPRDHAWES,331419,N096,13000.0,Pounds,27.2268,NO,18.7214,34.3814,42.2916,44.8214,60.4814,99.9385,YES,10.44,49.2306,0.4864,NO,R30
71635GRGPCPAPER,322110,007782505,9665.0,Pounds,2.4188,NO,0.0,2.4346,2.4504,65.6576,100.0,97.9528,NO,63.223,34.1438,1.1114,YES,R99
70037LLNCRHIGHW,324110,000091203,0.5,Pounds,0.0054,NO,0.0,0.0076,0.0098,0.0142,0.024,1.2048,YES,0.0066,0.092,3.2334,YES,R99
18848DPNTTRD1BO,325992,000108883,250000.0,Pounds,25.034,NO,0.0,28.0907,31.25,56.6868,99.5809,99.984,YES,28.5961,51.2128,0.5479,NO,R12
06473PRTTW415WA,336412,007440473,5100.0,Pounds,13.5153,NO,0.0,13.7416,13.9726,83.3407,100.0,99.3571,NO,69.5991,50.2732,0.7582,NO,R99
18848DPNTTRD1BO,325992,000067561,142000.0,Pounds,13.2315,NO,0.0,18.0404,23.2406,31.7496,52.3134,99.6491,YES,13.7092,28.6709,0.5727,NO,R12
07823HFFMN206RO,325411,000108883,0.5,Pounds,0.0003,NO,0.0,0.0004,0.0006,0.0013,0.0026,1.1236,YES,0.0009,0.0756,3.705,YES,R13
44430DNMNT400DI,326211,N982,5506.0,Pounds,91.6903,NO,91.6903,91.6903,91.6903,91.6903,91.6903,91.6903,NO,0.0,91.6903,0.0,NO,R99
39563MRTNT5724E,325199,000078933,147750.0,Pounds,48.5056,NO,37.4488,55.9202,63.8033,68.2344,86.7058,99.9324,YES,12.3142,67.5319,0.2502,NO,R11
60098MRTNT1275L,325520,000078933,4600.0,Pounds,21.957,NO,0.0,22.4972,23.0576,84.0621,100.0,94.8454,NO,61.5648,50.4255,0.6432,NO,R11
71753THYLCROUTE,325188,000071432,8500.0,Pounds,1.2011,NO,0.0,1.4804,1.7653,3.6662,6.945,99.8825,YES,2.1858,18.393,1.7846,YES,R13
72396HLSTDHWY1N,331421,000079016,286990.0,Pounds,45.7154,NO,19.552,50.9142,56.3112,71.8223,100.0,99.9997,NO,20.9081,65.9504,0.2862,NO,R19
48626HMLCK12334,331419,007647010,2651935.0,Pounds,99.4815,NO,99.2701,99.5908,99.7002,99.8045,100.0,99.9508,NO,0.2138,99.7033,0.0015,NO,R99
53029BRGGS3333W,332510,007440508,0.5,Pounds,0.0976,NO,0.0,0.0988,0.1001,4.793,11.8343,9.0909,NO,4.6942,2.7246,1.2333,YES,R99
42240FRDNBPEMBR,313230,000075092,410000.0,Pounds,90.8028,NO,79.1754,91.1603,91.5179,99.1502,100.0,99.9932,NO,7.9899,94.705,0.0434,NO,R19
78702PRCST2110E,331512,007440473,9399.0,Pounds,24.5296,NO,0.0,24.7635,24.9993,93.3108,100.0,99.0307,NO,68.5473,54.9583,0.6352,NO,R30
55120FTMRK2411P,332812,000078933,22000.0,Pounds,31.4735,NO,0.0,32.8684,34.375,81.7342,100.0,92.0502,NO,48.8658,55.3006,0.4724,NO,R11
24541CRNNGROUTE,327212,N982,3935.0,Pounds,85.1916,NO,82.4511,89.3962,91.4691,94.0263,100.0,99.8731,NO,4.6301,92.1208,0.0437,NO,R99
13057GNRLS22CEL,332813,N090,21091.0,Pounds,59.4381,NO,29.52,59.5347,59.6313,79.5445,100.0,99.4577,NO,20.0098,72.8424,0.2584,NO,R30
45042MMPCK1701R,323111,000108883,81000.0,Pounds,35.4796,NO,0.0,40.023,45.7627,69.4743,100.0,93.8586,NO,29.4513,56.5233,0.3396,NO,R11
62040MRCNS1700W,331513,N090,12000000.0,Pounds,97.3091,NO,94.4085,97.5144,97.7199,99.5851,100.0,100.0,NO,2.0706,98.6282,0.0117,NO,R99
78343CLNSNONEMI,325199,000067561,27000000.0,Pounds,86.2545,NO,83.0404,89.8583,92.5609,94.4035,100.0,99.9953,NO,4.5452,92.7323,0.0424,NO,R13
97206LRGST4600S,331528,007440020,960000.0,Pounds,58.7621,NO,1.7992,59.2561,59.7535,97.5607,100.0,99.9995,NO,38.3046,78.6057,0.2504,NO,R28
73446WWTRLHWY19,336212,N590,0.1,Pounds,0.0005,NO,0.0,0.0005,0.0005,0.0104,0.0252,1.9608,YES,0.0099,0.1366,3.5692,YES,R19
67801XCLCREHIGH,311611,N511,0.5,Pounds,0.0,NO,0.0,0.0,0.0,0.0001,0.0002,0.0002,NO,0.0001,0.0001,1.0372,YES,R99
97206LRGST4600S,331528,007440484,122000.0,Pounds,58.5104,NO,3.4685,59.2062,59.9052,96.3646,100.0,99.9959,NO,37.1584,77.2212,0.25,NO,R28
93308TXCRF6451R,324110,001330207,50.0,Pounds,0.2113,NO,0.0,0.2199,0.2291,4.7328,11.5021,79.3651,YES,4.5129,5.9396,2.0112,YES,R19
03904PRTSMSEAVE,928110,000071363,2155.0,Pounds,9.401,NO,0.0,10.0585,10.7161,27.0468,52.5293,43.3776,NO,16.9883,21.1649,0.7425,NO,R11
53044KHLRC444HI,332998,N982,99000.0,Pounds,71.8339,NO,40.8562,73.4022,75.0,95.0995,100.0,99.997,NO,21.6973,85.075,0.1412,NO,R99
94565DWCHMFOOTO,325199,000056235,400000.0,Pounds,73.7737,NO,46.8606,75.8865,78.1097,95.2371,100.0,99.9978,NO,19.3506,86.0652,0.1213,NO,R99
50595WHTCN600ST,335224,000071363,36047.0,Pounds,66.8205,NO,21.35,67.3027,67.7856,97.9378,100.0,99.9501,NO,30.6351,80.7196,0.1921,NO,R11
06902PLYCS69SOU,326113,000080626,0.5,Pounds,0.0011,NO,0.0,0.0015,0.0021,0.003,0.0053,0.0274,YES,0.0015,0.0042,1.3769,YES,R12
31907MTSSH1MASB,335911,N420,4816291.0,Pounds,57.8712,NO,0.0,57.8812,57.8912,99.9531,100.0,99.9999,NO,42.072,78.5912,0.2677,NO,R27
07461MSRBBROUTE,326299,000071556,18377.0,Pounds,38.6909,NO,0.0,42.3719,46.812,74.4365,100.0,83.6307,NO,32.0645,57.5358,0.311,NO,R11
45212DNGRPBEECH,323111,000078933,8000.0,Pounds,7.4627,NO,0.0,10.3425,13.7457,19.0025,31.9924,47.0588,YES,8.66,16.4494,0.588,NO,R11
42420CCRDC2315A,336399,N230,61200.0,Pounds,28.777,NO,0.0,31.6215,34.7826,64.5833,100.0,90.9091,NO,32.9618,49.5541,0.4494,NO,R19
02714TTLST256SA,339920,N982,200000.0,Pounds,67.8173,NO,39.1225,70.9479,74.3494,92.1648,100.0,99.9975,NO,21.2169,82.2748,0.1447,NO,R99
61341MRSLL1401B,327331,N040,60.0,Pounds,19.0476,NO,0.0,19.2012,19.3548,55.8313,100.0,92.3077,NO,36.63,43.5701,0.791,NO,R99
46241RLLYT1500S,325192,000109068,0.5,Pounds,0.0007,NO,0.0,0.0009,0.0013,0.0022,0.0042,1.4493,YES,0.0013,0.0086,10.5228,YES,R19
46241RLLYT1500S,325192,000110861,0.5,Pounds,0.0002,NO,0.0,0.0002,0.0003,0.0007,0.0015,1.1236,YES,0.0005,0.0052,13.5765,YES,R19
45869BRDNN455WM,311511,N511,0.5,Pounds,0.0007,NO,0.0003,0.0009,0.0012,0.0014,0.002,0.0016,NO,0.0004,0.0011,0.3175,NO,R99
55164KCHRFPOBOX,324110,001330207,920.0,Pounds,0.5338,NO,0.0,0.5715,0.6096,4.1944,9.6287,97.0464,YES,3.6229,17.1352,1.828,YES,R99
06795PHLSN1465M,332813,007664382,6640.0,Pounds,12.5189,NO,0.0,13.3227,14.2367,58.8605,100.0,68.1725,NO,45.5378,34.1849,0.7197,NO,R99
35611GNRLMUSHIG,336330,N583,150000.0,Pounds,87.2093,NO,87.2093,87.2093,87.2093,87.2093,87.2093,87.2093,NO,0.0,87.2093,0.0,NO,R99
07036XXNXX1400P,324110,000108883,3900.0,Pounds,3.3205,NO,0.0,4.8048,6.4081,9.5348,16.6297,99.8464,YES,4.73,10.5209,1.2598,YES,R99
71753THYLCROUTE,325188,000106934,5000.0,Pounds,15.2207,NO,0.0,15.8138,16.4474,73.2847,100.0,95.2381,NO,57.4708,47.2406,0.7058,NO,R19
60185GRFFN1920D,336510,007440666,800.0,Pounds,32.6531,NO,25.6361,39.8559,47.0588,49.3359,63.5557,51.6129,NO,9.4799,43.7749,0.1846,NO,R99
15071CRCBL1001R,331492,007440473,9683.0,Pounds,96.9269,NO,94.7984,96.9949,97.063,98.4593,100.0,99.8556,NO,1.4643,97.9485,0.0138,NO,R30
13209CRCBLSTATE,331111,007439965,105400.0,Pounds,36.3476,NO,0.0,40.8669,46.6165,73.6381,100.0,99.9384,NO,32.7712,59.6346,0.349,NO,R30
30263WLLML25BON,331316,007664382,2000000.0,Pounds,87.7097,NO,71.7507,88.1025,88.4956,99.0038,100.0,99.9875,NO,10.9012,92.9151,0.06,NO,R40
60438BCHMC2700E,325510,000100414,140000.0,Pounds,18.8147,NO,0.0,21.5249,24.403,46.5737,84.1469,99.1501,YES,25.0488,45.5187,0.6622,NO,R11
18848GTPRDHAWES,331419,007664417,630000.0,Pounds,65.8996,NO,24.8364,67.1679,68.4783,95.3889,100.0,98.2839,NO,28.221,79.6822,0.1819,NO,R99
35601MNSNTCOURT,325199,000107131,7500000.0,Pounds,95.5662,NO,94.8074,96.6692,97.7101,97.9105,99.7723,99.9984,YES,1.2412,97.6832,0.0149,NO,R19
29116THYLCCANNO,325199,001330207,275117.0,Pounds,90.7722,NO,88.1566,93.3256,94.9481,96.7717,100.0,99.9782,NO,3.446,95.1573,0.0266,NO,R11
44125ZLMNF6255H,332721,000079016,56938.0,Pounds,65.5424,NO,41.2281,69.1447,72.8918,87.7557,100.0,99.6831,NO,18.611,79.9594,0.1554,NO,R11
15650TLDYNROUTE,331111,007440508,1700.0,Pounds,20.9747,NO,0.0,26.3478,34.0,50.0,85.4783,99.7067,YES,23.6522,40.4414,0.4344,NO,R99
45212DNGRPBEECH,323111,000108883,600.0,Pounds,4.3228,NO,0.0,5.9871,8.2418,10.0593,16.1677,43.4783,YES,4.0723,11.8333,0.8763,NO,R11
07823HFFMN206RO,325411,000067663,0.5,Pounds,0.0017,NO,0.0,0.002,0.0025,0.0087,0.0188,4.3478,YES,0.0067,0.2946,3.6775,YES,R13
29720DRCLLHWY9B,335912,N450,820000.0,Pounds,70.0397,NO,25.2474,70.0624,70.0852,99.9391,100.0,99.9994,NO,29.8766,84.7701,0.1763,NO,R30
45869BRDNN455WM,311511,007697372,0.5,Pounds,0.0012,NO,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,NO,0.0,0.0012,0.0,NO,R99
55120FTMRK2411P,332812,001330207,4200.0,Pounds,23.3723,NO,0.0,24.6053,25.9259,72.6759,100.0,91.9037,NO,48.0706,47.9663,0.5761,NO,R11
29681WRGRC803NO,326113,N230,180.0,Pounds,1.3547,NO,0.0,1.3844,1.4151,27.0984,65.6693,54.7112,NO,25.714,16.3495,1.1825,YES,R11
32785RMCDVHIGHW,331210,007697372,45576.0,Pounds,9.2336,NO,0.0,12.234,16.7712,20.5974,33.1425,89.9947,YES,8.3634,24.3964,0.8797,NO,R40
60438BCHMC2700E,325510,N230,230000.0,Pounds,7.6347,NO,0.0,7.8733,8.1272,69.6453,100.0,99.7874,NO,61.772,39.3182,0.8643,NO,R11
40210NTDCT1227S,325188,007664417,73000.0,Pounds,7.921,NO,0.0,10.3189,14.5166,21.419,38.0693,99.9932,YES,11.1002,22.3304,0.8484,NO,R99
